time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1705272253.804778,-0.99,2.39,-9.19,0.01,0.04,0.07,32.06
1705272253.875249,-1.05,2.31,-9.12,-0.01,0.01,0.03,32.06
1705272254.014293,-1.16,2.33,-9.02,-0.02,-0.01,0.05,31.92
1705272254.084797,-1.0,2.38,-9.16,-0.02,0.01,0.07,31.97
1705272254.224187,-1.19,2.46,-9.45,-0.1,0.05,0.1,32.01
1705272254.294198,-0.47,2.8,-10.55,0.89,4.37,-1.05,32.06
1705272254.433706,3.29,3.51,-0.83,0.93,4.37,-0.12,32.01
1705272254.5117152,10.09,1.11,2.79,-0.32,-1.97,0.02,31.97
1705272254.6585011,8.0,-0.01,-4.32,-1.45,-4.37,0.85,32.11
1705272254.72925,-4.86,2.73,-14.5,-1.37,-4.37,1.8,31.97
1705272254.799571,-2.84,3.39,-10.04,-0.05,-2.66,0.28,32.06
1705272254.939015,-2.64,2.85,-9.63,0.34,1.06,-0.57,32.01
1705272255.009443,-1.34,2.11,-9.0,0.1,0.6,-0.13,31.97
1705272255.14865,-1.41,2.34,-9.19,0.02,-0.03,0.08,32.01
1705272255.219015,-1.32,2.22,-9.28,-0.02,0.02,0.02,32.06
1705272255.358382,-0.3,1.16,-13.83,4.35,4.37,-4.36,32.11
1705272255.428961,8.18,0.4,2.37,0.53,-0.34,-0.74,32.06
1705272255.567977,7.35,2.26,-3.19,-0.46,0.16,0.59,32.11
1705272255.638731,12.94,-2.06,-3.21,-1.8,-4.37,0.2,31.97
1705272255.7781289,2.16,0.93,-8.71,-1.55,-3.72,0.96,32.01
1705272255.848574,-1.18,2.8,-8.79,-0.13,-0.13,0.14,32.01
1705272255.9889019,-1.69,2.73,-9.17,0.04,0.43,0.02,32.01
1705272256.062272,0.49,2.31,-9.8,-0.09,1.57,-0.02,32.01
1705272256.202027,-4.35,3.87,-10.53,4.37,4.37,-2.21,31.97
1705272256.272504,8.73,0.97,6.48,0.46,2.34,0.05,31.92
1705272256.480653,8.59,2.15,5.93,-0.15,0.74,-0.26,32.11
1705272256.5508878,7.81,2.35,6.88,-0.23,-0.89,-0.4,32.06
1705272256.690284,8.99,-2.07,6.52,-2.68,-4.37,0.24,32.01
1705272256.7606,0.76,4.11,-11.17,-2.07,-1.66,0.28,32.11
1705272256.899897,0.92,3.91,-8.92,0.26,-0.08,-0.77,32.06
1705272256.970416,3.21,2.65,-7.59,0.32,0.58,-0.49,32.01
1705272257.1098182,3.19,2.56,-10.19,0.21,0.26,-0.45,32.06
1705272257.180414,-5.1,4.48,-9.5,-2.95,4.37,-1.16,31.92
1705272257.319513,1.85,4.86,0.61,0.08,-0.17,0.12,32.06
1705272257.3900568,9.95,1.12,7.98,-0.1,0.19,0.12,32.11
1705272257.5293179,8.45,2.72,6.6,0.32,-2.04,-0.41,32.06
1705272257.5995882,4.33,0.05,4.8,-0.86,-4.37,0.65,31.92
1705272257.738955,-11.3,7.57,-19.61,1.99,-4.37,-0.45,32.01
1705272257.809931,-3.59,2.14,-12.74,0.63,0.29,-0.85,32.06
1705272257.94928,-0.85,1.79,-9.26,0.05,1.14,0.21,32.01
1705272258.019588,-1.4,2.46,-8.74,-0.25,0.4,0.3,31.97
1705272258.158782,-0.52,1.76,-18.0,-0.21,3.78,0.35,32.01
1705272258.2290711,-4.32,3.7,-3.06,-2.79,4.37,0.41,32.06
1705272258.437453,9.85,1.41,5.86,-0.3,0.05,-0.0,31.97
1705272258.507652,8.05,2.55,7.76,0.18,-2.86,-0.25,32.11
1705272258.647588,6.09,0.4,0.45,-1.55,-4.37,0.98,31.97
1705272258.718174,-4.42,5.04,-14.24,0.01,-3.41,-0.15,31.97
1705272258.8577542,-0.21,2.89,-8.68,0.06,-0.86,0.14,32.2
1705272258.928266,-0.33,2.81,-8.21,0.25,0.99,-0.28,32.01
1705272259.067512,-0.2,2.51,-9.23,0.1,0.32,-0.21,32.11
1705272259.1377652,-0.13,2.43,-8.74,0.02,0.05,-0.09,32.06
1705272259.277142,4.6,-4.07,-19.49,4.37,4.37,-4.37,32.01
1705272259.347413,12.31,-7.52,17.52,-4.37,3.37,-0.98,32.06
1705272259.48653,10.55,2.12,1.62,0.56,-1.34,0.82,32.01
1705272259.556684,11.43,1.61,3.94,-0.41,-0.39,0.35,31.97
1705272259.696008,8.28,2.85,3.69,-0.48,-1.77,0.75,32.01
1705272259.766231,12.17,-0.61,-3.17,-0.69,-4.37,1.07,32.01
1705272259.905581,6.01,0.93,-6.52,-1.09,-4.37,0.09,32.06
1705272259.975873,-0.58,3.24,-10.9,-0.69,-4.04,0.82,32.01
1705272260.115138,0.41,2.25,-8.13,0.39,0.69,-0.31,32.06
1705272260.1854222,2.13,0.96,-8.98,0.33,0.7,-0.39,32.01
1705272260.394298,5.49,-1.73,-14.49,1.14,4.19,-1.72,32.01
1705272260.4660869,8.67,0.28,13.47,-4.37,-0.26,1.15,32.06
1705272260.6071758,6.71,3.02,-1.05,-0.17,0.0,1.84,31.97
1705272260.677848,14.2,-0.62,5.33,-0.93,0.02,0.54,32.01
1705272260.8175201,7.92,1.12,-6.31,-0.22,-4.37,1.08,32.06
1705272260.888798,3.71,2.65,-8.23,-1.62,-4.37,1.13,32.01
1705272261.029265,1.01,2.68,-9.32,-0.93,-4.31,0.6,32.06
1705272261.100147,-2.07,4.02,-8.37,-0.23,-2.91,0.15,32.11
1705272261.240534,-1.56,3.23,-8.48,0.26,0.23,-0.82,31.97
1705272261.311473,-0.14,2.31,-9.57,0.26,0.54,-0.57,32.01
1705272261.4514098,-0.47,2.37,-8.78,-0.01,-0.03,-0.02,31.97
1705272261.5243258,-1.27,-1.19,-18.76,4.24,4.37,-4.37,32.06
1705272261.7343109,12.03,2.22,-0.95,0.42,-1.46,1.38,32.06
1705272261.805215,8.53,1.67,3.09,0.14,-3.31,0.81,32.01
1705272261.945475,6.26,1.26,-8.14,-1.72,-4.37,1.33,31.97
1705272262.016563,1.97,1.88,-9.49,-0.68,-4.37,0.03,32.01
1705272262.157145,-1.56,2.72,-12.11,-0.03,-0.73,-0.07,32.06
1705272262.2278872,-0.21,2.01,-10.77,-0.0,-0.19,-0.03,32.01
1705272262.3681018,-0.99,2.07,-10.98,-0.29,-0.34,0.56,31.97
1705272262.439262,-3.04,3.07,-10.97,-0.19,-0.72,0.46,31.92
1705272262.579864,-3.75,3.84,-9.16,0.06,-0.62,0.13,31.92
1705272262.650742,0.13,1.84,-14.45,0.98,3.48,-0.76,31.92
1705272262.791593,-10.83,7.98,-13.09,-4.37,4.37,-4.37,32.11
1705272262.862635,4.92,4.82,4.17,0.91,-3.49,0.12,31.97
1705272263.072822,7.16,4.28,5.62,-0.24,-1.76,0.32,31.97
1705272263.1436758,2.16,2.66,-14.61,-0.19,-4.37,0.76,31.92
1705272263.284242,3.56,1.88,-8.15,-1.08,-3.11,1.13,32.06
1705272263.355102,-1.04,3.9,-9.02,-0.31,-1.19,0.49,31.92
1705272263.49541,-0.89,3.9,-8.25,0.1,-0.42,-0.24,32.01
1705272263.566043,-1.19,3.62,-8.61,-0.12,-0.73,-0.19,32.06
1705272263.706081,-1.16,3.48,-8.14,0.03,0.23,-0.48,32.01
1705272263.776639,-0.12,3.07,-9.2,0.24,1.04,-0.2,32.06
1705272263.918208,-9.16,6.62,-19.61,4.02,4.37,-4.37,31.92
1705272263.989144,-4.05,10.05,-6.39,0.59,-3.42,-0.68,32.06
1705272264.131692,11.21,0.79,1.14,-0.49,-4.37,1.93,31.92
1705272264.202587,6.36,0.74,-11.38,-1.4,-4.37,0.64,32.06
1705272264.411811,1.86,2.59,-6.98,-0.28,-0.18,0.33,32.01
1705272264.484843,0.87,2.47,-10.8,-0.17,-0.56,0.41,31.97
1705272264.6376379,-0.35,3.12,-10.0,-0.12,-0.61,0.23,31.92
1705272264.7093718,-1.27,3.46,-9.75,0.1,0.14,-0.14,31.97
1705272264.849317,-0.52,3.42,-8.45,-0.18,-0.91,0.2,32.01
1705272264.920018,-0.97,3.8,-8.56,-0.02,-0.14,-0.04,31.97
1705272265.059784,7.15,-0.5,-15.45,4.29,4.37,-3.56,31.92
1705272265.130425,6.53,-0.11,19.61,-3.18,-4.24,0.03,32.06
1705272265.34004,9.48,2.09,0.8,-0.73,-4.02,0.78,32.01
1705272265.410858,5.04,2.58,-10.74,-1.3,-4.37,0.35,31.97
1705272265.551291,5.15,3.05,-6.11,-0.3,-0.09,-0.17,32.01
1705272265.622283,5.22,3.01,-7.3,0.1,0.13,0.01,32.01
1705272265.718334,5.44,2.89,-7.52,0.07,0.04,0.03,32.01
1705272265.936597,5.34,2.87,-7.55,-0.07,0.16,0.11,31.97
1705272266.0831418,5.5,2.73,-6.95,-0.1,0.13,0.01,32.01
1705272266.159782,6.06,2.73,-6.53,0.04,-0.03,-0.13,31.97
1705272266.230964,5.47,2.81,-7.72,-0.03,0.09,-0.05,32.01
1705272266.302034,5.17,3.04,-7.3,-0.04,0.09,0.03,31.97
1705272266.372967,5.99,2.72,-7.41,-0.0,0.1,0.05,32.01
1705272266.4443688,5.62,2.97,-7.23,-0.01,-0.01,0.04,32.01
1705272266.585066,5.78,2.87,-7.43,0.0,0.11,-0.0,31.97
1705272266.656107,5.8,2.88,-7.31,-0.03,0.16,-0.02,31.92
1705272266.797793,5.75,2.87,-7.72,-0.02,-0.01,0.07,32.06
1705272269.47199,-0.65,2.9,-9.16,0.04,-0.02,0.07,32.01
1705272269.545953,-0.13,2.69,-9.01,0.03,0.01,0.03,31.97
1705272269.6923678,-0.53,2.77,-9.28,-0.0,-0.02,0.04,31.92
1705272269.7639282,4.29,0.29,-13.28,1.19,4.33,-0.99,31.97
1705272269.8359392,-2.25,7.29,-8.36,-0.88,4.37,-3.32,3.0
1705272269.9758642,7.44,4.49,2.74,-0.64,-2.8,-0.18,31.87
1705272270.046564,10.14,0.98,-2.55,-0.93,-4.37,2.09,31.92
1705272270.186334,-0.59,0.96,-13.55,-1.66,-4.37,2.3,31.82
1705272270.2571971,-4.35,4.04,-8.53,0.06,-1.57,0.6,31.97
1705272270.3973901,-3.88,3.41,-8.2,0.04,-0.37,-0.11,32.01
1705272270.468342,-4.11,3.65,-7.41,0.04,-0.47,-0.0,31.87
1705272270.6081128,-3.58,3.38,-7.29,0.01,-0.03,-0.14,32.01
1705272270.678833,-3.26,3.01,-7.67,0.14,0.26,-0.26,31.87
1705272270.819037,1.8,-0.06,-14.53,0.97,4.37,-2.13,31.92
1705272270.8896708,-6.52,6.17,-3.78,-4.37,4.37,-0.42,31.97
1705272271.029715,10.93,0.23,-1.87,-0.73,-1.64,2.29,31.92
1705272271.100629,11.52,0.03,-1.4,-0.67,-3.5,-0.05,32.01
1705272271.2407382,0.87,0.17,-6.64,-2.36,-4.37,0.65,31.97
1705272271.3113668,-1.42,4.14,-7.38,-1.83,-4.37,0.21,31.92
1705272271.382216,0.52,2.33,-10.11,-0.29,-3.66,-0.1,31.87
1705272271.52185,-2.77,2.97,-10.79,0.23,-1.95,-0.19,31.92
1705272271.592443,-3.56,2.62,-10.3,0.16,-0.17,-0.26,31.97
1705272271.732768,-3.9,2.77,-9.94,0.06,-0.24,0.19,31.92
1705272271.8032691,-3.8,2.77,-9.5,0.12,-0.46,0.18,31.87
1705272271.942889,-2.63,2.54,-10.3,0.13,0.18,-0.04,31.92
1705272272.0132968,-13.91,0.99,-19.61,2.93,4.37,-4.37,31.92
1705272272.153888,7.37,4.54,2.08,0.67,-0.97,-0.44,31.97
1705272272.224384,10.82,0.13,-2.23,0.52,-4.37,1.3,31.92
1705272272.363959,7.4,1.06,-7.22,-1.39,-4.37,0.97,31.87
1705272272.434647,1.02,2.45,-10.2,-0.95,-4.13,1.16,31.92
1705272272.574122,-1.32,2.48,-11.17,-0.46,-2.8,0.56,31.97
1705272272.644616,-2.33,2.64,-10.66,-0.11,-0.94,0.3,31.92
1705272272.784574,-3.65,3.19,-8.93,-0.04,-1.09,0.36,31.97
1705272272.855891,-4.32,3.39,-8.89,-0.04,-1.39,0.38,31.82
1705272272.926495,-5.1,4.09,-6.83,0.04,-1.18,0.04,31.82
1705272273.0661912,-4.5,3.63,-7.29,-0.1,-1.05,0.14,31.82
1705272273.136986,-4.07,2.99,-7.58,0.11,1.21,-0.25,31.82
1705272273.277007,5.56,-2.58,-12.82,3.55,4.37,-4.37,31.87
1705272273.347538,9.88,-1.98,19.61,-4.37,-0.47,1.21,31.92
1705272273.487394,8.56,2.42,1.32,-0.71,1.03,0.42,31.97
1705272273.5576682,10.56,0.56,0.11,-0.51,-3.62,0.65,32.01
1705272273.69806,8.23,0.93,-6.21,-2.03,-4.37,0.56,31.97
1705272273.768512,1.11,2.58,-11.31,-0.81,-2.91,0.8,31.82
1705272273.908365,1.01,2.0,-11.16,-0.14,-0.07,-0.23,31.92
1705272273.9791439,-1.01,2.58,-9.8,-0.01,0.56,-0.05,31.87
1705272274.119157,-2.14,2.87,-9.05,-0.06,0.49,0.13,31.92
1705272274.189754,-1.16,2.32,-9.76,-0.2,0.19,0.31,31.87
1705272274.329632,-1.62,2.41,-10.31,-0.17,-0.11,0.42,31.92
1705272274.400013,6.03,-1.72,-19.43,2.38,4.37,-2.67,31.87
1705272274.471513,10.61,-1.12,19.61,-4.37,-4.37,0.01,31.92
1705272274.6281059,16.47,-0.48,-6.18,-0.07,-1.79,2.18,31.87
1705272274.6992052,9.78,0.2,-6.66,-2.73,-4.37,0.24,31.82
1705272274.839212,1.49,3.56,-9.92,-0.82,-3.2,0.84,31.92
1705272274.9098291,2.43,2.51,-9.85,-0.24,-0.7,0.34,31.87
1705272275.0496728,1.06,3.13,-9.17,-0.0,0.49,-0.3,31.92
1705272275.1201658,0.34,3.21,-9.43,-0.09,0.01,0.06,31.87
1705272275.333529,0.31,3.5,-8.62,-0.0,-0.01,-0.02,31.87
1705272275.410002,0.41,3.2,-9.1,0.05,-0.16,-0.05,31.82
1705272275.552491,-0.28,3.5,-9.1,0.01,-0.05,0.01,31.87
1705272275.623234,-0.24,3.57,-9.11,-0.01,-0.09,0.02,31.92
1705272275.7636962,-0.15,3.5,-8.84,0.02,-0.07,-0.04,31.92
1705272275.834476,-0.12,3.27,-8.94,-0.02,0.01,-0.05,31.87
1705272275.9746602,-0.14,3.28,-8.7,-0.04,-0.01,0.01,31.92
1705272276.0453901,-0.26,3.45,-9.15,-0.04,-0.08,0.02,31.82
1705272276.256883,-0.2,3.39,-9.01,-0.0,0.01,0.04,31.87
1705272276.327753,-0.18,3.38,-8.74,-0.03,-0.03,0.04,31.82
1705272276.468163,-0.33,3.46,-8.87,-0.02,-0.01,0.04,31.87
